"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","LEAVE","ID"
"zero",98977,150,0,244392,275,22,9,"very_unsat","very_high","considering","LEAVE",15013
"zero",66343,190,0,164916,368,28,13,"very_sat","little","actively_looking_into_it","LEAVE",10434
"zero",28869,68,58,710770,189,4,4,"very_unsat","very_high","considering","STAY",6595
"zero",127324,81,26,853750,773,5,2,"very_unsat","very_high","perhaps","STAY",6398
"zero",20918,86,0,250170,798,5,10,"very_unsat","little","never_thought","LEAVE",2607
"one",132611,66,7,772966,604,5,5,"very_sat","little","considering","LEAVE",19999
"zero",89592,0,8,743903,388,0,4,"unsat","very_high","considering","STAY",2633
"one",145831,57,24,618150,646,4,5,"unsat","avg","no","LEAVE",12665
"zero",141098,0,0,297866,605,1,14,"very_sat","very_high","considering","STAY",16578
"one",153160,60,13,458910,509,4,6,"very_sat","high","considering","STAY",18855
"one",42950,68,14,254683,243,3,4,"unsat","little","no","STAY",7219
"zero",93070,184,7,837568,571,10,4,"very_sat","little","perhaps","STAY",2870
"one",30253,0,19,695916,143,0,4,"very_unsat","little","perhaps","STAY",1020
"one",80642,0,15,356462,574,1,6,"very_unsat","very_high","considering","STAY",17570
"one",105089,249,82,564537,787,25,1,"very_sat","very_high","considering","LEAVE",9924
"zero",61104,56,13,183349,857,5,4,"very_unsat","very_high","no","LEAVE",13571
"one",45470,71,7,221959,197,5,6,"very_unsat","very_little","actively_looking_into_it","STAY",16447
"one",29215,208,85,224784,241,21,1,"very_unsat","little","never_thought","STAY",19059
"one",116299,0,18,218522,780,0,5,"very_sat","very_little","actively_looking_into_it","STAY",15679
"one",105602,54,73,285172,785,3,9,"very_unsat","very_little","no","STAY",6747
"one",139564,53,50,402201,484,4,1,"very_unsat","little","considering","LEAVE",4056
"one",23755,186,24,270746,182,0,6,"very_sat","very_little","never_thought","LEAVE",10318
"zero",29152,0,20,182766,142,1,4,"very_unsat","little","perhaps","STAY",9189
"zero",40372,234,0,413083,338,20,8,"very_sat","little","no","LEAVE",16507
"zero",60896,166,0,720552,363,25,10,"very_unsat","little","actively_looking_into_it","STAY",18879
"zero",37299,0,10,541179,244,0,5,"very_unsat","high","never_thought","STAY",19118
"zero",137334,0,8,263537,828,0,6,"very_sat","little","actively_looking_into_it","STAY",14522
"zero",75235,0,0,284362,284,1,9,"very_unsat","very_high","considering","LEAVE",16421
"one",131903,53,19,942424,741,3,11,"very_sat","very_high","considering","STAY",2881
"one",113260,52,37,624391,497,3,2,"very_unsat","very_little","considering","STAY",10991
"zero",44184,0,16,317599,195,1,8,"very_sat","little","actively_looking_into_it","STAY",19049
"one",54783,46,39,176731,311,14,1,"unsat","very_high","actively_looking_into_it","LEAVE",4
"one",43833,84,24,425307,187,3,5,"very_sat","little","actively_looking_into_it","LEAVE",8016
"zero",40861,204,65,200056,206,11,8,"very_sat","very_high","actively_looking_into_it","LEAVE",6103
"one",28441,47,0,928975,147,5,11,"avg","little","no","STAY",9492
"zero",49108,209,0,418364,229,1,10,"very_unsat","little","never_thought","LEAVE",1410
"one",23165,183,24,170976,198,10,5,"very_unsat","little","considering","LEAVE",481
"one",76140,0,0,325959,169,1,14,"very_unsat","very_little","never_thought","LEAVE",13246
"zero",58658,228,0,718009,273,15,8,"unsat","very_little","never_thought","STAY",9669
"zero",120752,202,8,590450,787,22,6,"very_unsat","little","perhaps","LEAVE",19373
"zero",21965,0,0,874048,234,1,1,"very_sat","very_little","actively_looking_into_it","STAY",1731
"zero",147061,0,27,848387,808,11,6,"very_unsat","little","considering","LEAVE",6204
"one",72504,62,8,452743,386,5,5,"unsat","very_little","considering","STAY",10343
"one",94002,79,0,188109,344,5,15,"unsat","little","perhaps","STAY",1842
"zero",119854,0,10,199373,418,1,2,"very_unsat","little","considering","STAY",875
"one",146248,0,16,397532,669,1,5,"very_sat","high","no","STAY",7475
"zero",127594,44,27,398820,714,3,1,"very_sat","very_high","actively_looking_into_it","LEAVE",386
"zero",67948,0,38,570370,281,0,13,"very_unsat","high","considering","STAY",19806
"one",24798,61,0,287789,184,3,10,"very_unsat","little","no","LEAVE",789
"one",46003,190,7,610710,186,17,6,"very_unsat","little","considering","STAY",10038
"zero",115508,63,22,942099,841,4,4,"unsat","very_little","perhaps","LEAVE",7815
"one",89118,196,17,855841,287,24,5,"avg","very_high","never_thought","STAY",19475
"zero",40805,144,0,813424,186,15,11,"very_unsat","very_little","perhaps","LEAVE",9324
"zero",118044,0,60,910729,519,0,1,"avg","very_little","actively_looking_into_it","STAY",12203
"zero",38291,179,7,233358,245,20,4,"very_sat","little","perhaps","LEAVE",14405
"zero",128759,65,8,984926,158,3,5,"very_unsat","high","considering","STAY",15850
"one",60572,66,0,735103,255,4,15,"avg","little","considering","LEAVE",14089
"zero",108595,65,22,231163,890,3,11,"unsat","little","considering","LEAVE",9900
"one",69505,0,47,261099,339,0,2,"sat","very_little","actively_looking_into_it","LEAVE",10360
"zero",114709,55,0,736924,793,4,11,"unsat","very_high","actively_looking_into_it","LEAVE",3279
"zero",22425,0,31,669478,164,1,2,"very_sat","little","actively_looking_into_it","LEAVE",13717
"zero",124437,0,79,921413,721,0,1,"very_unsat","very_high","considering","LEAVE",5914
"zero",85513,72,0,516077,176,4,10,"very_sat","very_high","actively_looking_into_it","STAY",10507
"one",21782,199,80,851607,208,29,2,"very_unsat","little","no","STAY",11042
"one",38931,80,12,351425,185,0,4,"avg","little","never_thought","LEAVE",18089
"one",133996,79,43,188971,621,1,2,"very_sat","very_high","actively_looking_into_it","STAY",12196
"one",89526,0,0,182264,282,0,10,"sat","little","no","LEAVE",10673
"one",131616,0,0,797776,469,1,13,"avg","little","considering","LEAVE",14285
"zero",107739,49,52,574797,631,4,2,"very_unsat","very_high","no","LEAVE",3641
"one",136818,227,37,295393,483,26,4,"unsat","very_high","no","LEAVE",5663
"zero",132326,216,0,511945,553,17,15,"very_unsat","very_little","no","LEAVE",12290
"zero",23716,56,0,244546,150,4,10,"avg","little","actively_looking_into_it","LEAVE",8567
"zero",111435,0,71,428106,621,0,2,"very_unsat","very_little","actively_looking_into_it","LEAVE",15833
"one",58080,0,0,640551,290,1,9,"unsat","little","considering","STAY",19600
"one",48239,0,24,221907,573,0,6,"very_unsat","high","actively_looking_into_it","STAY",8996
"one",131147,21,42,251577,703,5,2,"unsat","little","considering","STAY",16064
"zero",138481,0,0,680421,796,1,4,"sat","very_little","considering","LEAVE",13339
"zero",57064,183,6,226865,286,20,6,"very_unsat","very_high","considering","LEAVE",11809
"zero",44899,0,9,470953,185,0,4,"very_unsat","very_little","actively_looking_into_it","STAY",16436
"one",136426,195,23,241994,573,4,1,"very_sat","very_high","considering","LEAVE",14751
"one",99186,62,27,575485,340,5,13,"unsat","little","considering","STAY",1201
"one",100709,205,0,652573,610,11,14,"very_sat","little","perhaps","LEAVE",12238
"zero",48422,0,19,552478,161,0,4,"very_sat","little","actively_looking_into_it","STAY",162
"zero",110889,87,20,466708,502,3,4,"unsat","little","considering","STAY",11037
"one",42875,0,25,300495,230,22,1,"very_sat","very_high","considering","LEAVE",16126
"one",93783,41,45,765633,378,3,2,"very_unsat","very_little","actively_looking_into_it","STAY",17459
"one",117006,0,0,199375,738,0,6,"very_sat","little","no","LEAVE",361
"zero",44287,0,23,409048,241,4,5,"unsat","very_high","considering","STAY",16470
"one",30006,27,0,225698,216,5,1,"very_unsat","very_high","actively_looking_into_it","LEAVE",10244
"zero",38869,57,0,206848,215,19,1,"very_unsat","very_high","considering","LEAVE",1571
"zero",158405,0,0,701402,314,0,12,"very_sat","very_high","actively_looking_into_it","STAY",10636
"zero",31367,156,7,647445,199,28,5,"very_unsat","little","considering","STAY",18157
"zero",115796,210,84,996052,809,23,1,"avg","very_high","no","LEAVE",16032
"zero",46699,176,81,958151,234,18,1,"very_sat","very_little","perhaps","STAY",5594
"one",120320,71,16,620766,628,4,6,"very_sat","little","considering","LEAVE",5937
"one",152309,46,46,850976,402,5,2,"very_unsat","little","considering","LEAVE",18880
"one",42313,0,9,896754,229,1,6,"very_unsat","very_little","perhaps","STAY",10892
"zero",158497,66,6,508470,215,5,6,"unsat","little","actively_looking_into_it","STAY",19525
"zero",158228,0,0,387447,856,1,9,"sat","high","considering","LEAVE",4547
"zero",59045,171,0,392213,327,17,12,"sat","high","considering","LEAVE",16779
"zero",109268,32,0,258512,435,4,13,"avg","little","actively_looking_into_it","STAY",1628
"one",77613,201,0,415810,354,13,10,"unsat","very_little","perhaps","LEAVE",2393
"one",76409,65,0,193861,715,3,10,"very_sat","high","considering","LEAVE",12848
"one",47777,77,7,614137,147,4,4,"very_sat","very_little","no","LEAVE",10441
"one",40831,0,33,603002,187,1,2,"very_unsat","high","actively_looking_into_it","STAY",17719
"one",107723,155,43,496568,547,26,2,"very_unsat","avg","considering","STAY",3998
"one",38147,0,23,464079,187,1,6,"unsat","little","considering","LEAVE",14173
"zero",35468,0,62,559911,218,1,2,"very_sat","little","never_thought","LEAVE",6718
"zero",123133,38,60,528916,386,5,2,"very_sat","high","actively_looking_into_it","LEAVE",10162
"one",64329,146,11,402550,297,12,5,"very_unsat","very_high","considering","LEAVE",11003
"one",86288,0,0,171305,749,0,13,"very_unsat","little","no","STAY",15553
"zero",114461,200,28,775618,596,14,1,"very_sat","very_little","considering","LEAVE",15948
"zero",39406,13,46,467445,753,3,1,"avg","very_high","considering","LEAVE",14169
"zero",71210,0,0,420255,260,26,8,"unsat","little","considering","STAY",17289
"zero",142631,46,9,507049,721,5,4,"very_sat","very_little","no","LEAVE",6069
"zero",42715,0,59,765742,315,4,1,"very_sat","very_little","considering","LEAVE",6528
"one",75443,24,89,211025,256,3,1,"unsat","very_little","actively_looking_into_it","STAY",6594
"zero",57888,207,28,359618,399,22,15,"very_unsat","very_high","perhaps","LEAVE",13402
"zero",49727,0,0,255224,183,1,15,"unsat","very_high","actively_looking_into_it","LEAVE",6831
"one",133530,67,29,181693,880,5,1,"very_unsat","very_high","no","STAY",12737
"one",39313,228,12,323239,206,20,5,"avg","little","never_thought","STAY",6909
"one",24056,0,44,193539,205,1,2,"very_unsat","little","no","LEAVE",10677
"zero",69365,69,47,803097,361,5,1,"very_sat","little","no","LEAVE",6071
"zero",85385,168,11,550978,346,12,5,"very_unsat","very_high","no","LEAVE",14490
"zero",153021,0,0,993198,693,0,13,"unsat","very_little","perhaps","STAY",9190
"zero",39886,201,19,456881,245,10,5,"sat","little","considering","STAY",14968
"one",137640,0,67,344964,667,1,1,"unsat","high","actively_looking_into_it","LEAVE",10324
"zero",93478,231,86,274284,398,15,1,"very_sat","high","no","LEAVE",18130
"zero",21669,169,88,783173,233,24,1,"very_unsat","very_little","considering","STAY",12968
"zero",32857,47,8,517301,187,3,6,"very_unsat","very_little","never_thought","STAY",13073
"zero",44779,0,49,939773,208,1,1,"unsat","high","actively_looking_into_it","STAY",3485
"zero",66471,71,0,813682,345,3,13,"unsat","very_high","no","STAY",14166
"one",82214,0,49,929578,256,1,1,"very_unsat","very_high","considering","LEAVE",4820
"one",115634,0,29,691543,772,0,1,"avg","very_high","considering","STAY",18835
"one",35802,211,16,317611,219,5,4,"very_sat","little","actively_looking_into_it","STAY",17518
"zero",41591,138,0,425346,215,16,12,"avg","little","no","STAY",16874
"zero",124694,83,84,380001,227,4,1,"unsat","avg","considering","STAY",18137
"one",38841,59,68,737175,233,4,1,"unsat","little","considering","LEAVE",11549
"zero",146841,234,11,418031,473,19,4,"very_unsat","very_high","considering","STAY",4707
"one",159222,71,59,220227,614,5,1,"very_unsat","little","actively_looking_into_it","LEAVE",13095
"one",147783,0,0,250466,846,0,12,"very_unsat","avg","actively_looking_into_it","STAY",15598
"zero",107049,0,66,190502,250,1,1,"very_sat","little","perhaps","STAY",18190
"zero",108766,221,86,989030,723,27,1,"very_sat","little","actively_looking_into_it","LEAVE",1543
"one",106257,229,46,526926,766,27,1,"very_sat","high","considering","LEAVE",2401
"zero",134766,0,75,375467,804,0,1,"very_sat","very_little","perhaps","STAY",8279
"zero",66995,0,0,251737,254,3,14,"very_unsat","very_high","never_thought","STAY",7814
"one",104812,235,72,382470,854,18,5,"very_unsat","little","actively_looking_into_it","LEAVE",11218
"zero",33539,42,58,795242,221,4,2,"very_sat","very_high","considering","STAY",2329
"zero",130626,58,59,178269,832,5,2,"very_unsat","very_little","actively_looking_into_it","LEAVE",15084
"zero",28683,0,0,764582,141,0,11,"very_unsat","very_high","considering","LEAVE",12319
"zero",35694,79,0,362699,131,3,10,"avg","little","actively_looking_into_it","STAY",13885
"one",21799,58,20,175165,170,4,6,"very_unsat","little","considering","LEAVE",14789
"zero",119128,163,17,179187,497,22,6,"very_sat","very_high","no","LEAVE",12537
"one",73590,190,0,274473,393,13,14,"unsat","high","considering","LEAVE",19808
"one",132990,0,35,877533,716,0,2,"very_sat","little","never_thought","STAY",15543
"zero",72400,0,0,632219,404,1,12,"very_unsat","very_little","perhaps","STAY",17345
"zero",157643,40,15,199125,628,3,4,"unsat","very_little","no","LEAVE",17050
"zero",43215,0,50,286769,242,0,1,"unsat","little","no","STAY",1554
"zero",27486,152,0,626434,158,14,9,"very_unsat","high","actively_looking_into_it","STAY",1522
"one",39712,211,18,756064,136,21,4,"very_sat","little","actively_looking_into_it","STAY",885
"one",54675,213,72,529182,318,1,1,"unsat","avg","considering","LEAVE",901
"one",20314,0,12,541371,221,1,1,"unsat","very_little","considering","LEAVE",4988
"one",149999,0,15,723260,675,1,5,"very_unsat","avg","considering","LEAVE",6040
"one",108247,74,24,528379,812,3,4,"very_unsat","little","actively_looking_into_it","STAY",9517
"zero",24780,0,0,736839,229,29,2,"very_sat","little","considering","STAY",17577
"zero",142274,214,61,856050,584,13,1,"very_sat","very_little","actively_looking_into_it","STAY",15025
"one",153480,0,46,528651,675,1,1,"very_unsat","high","actively_looking_into_it","LEAVE",946
"one",43315,190,54,867936,225,10,1,"very_unsat","very_high","considering","STAY",8415
"one",76630,0,10,368094,366,0,6,"very_unsat","avg","no","STAY",13166
"one",157488,229,11,580852,635,3,1,"very_unsat","very_high","considering","LEAVE",13993
"zero",47183,0,0,151776,160,1,1,"very_sat","very_high","never_thought","STAY",19384
"zero",30837,44,81,669200,248,5,1,"very_sat","little","considering","STAY",14563
"zero",34550,175,24,389580,136,14,5,"very_unsat","very_little","actively_looking_into_it","LEAVE",14239
"one",151076,190,0,640428,704,26,15,"unsat","very_high","considering","LEAVE",15662
"zero",155858,182,26,740532,897,28,1,"very_sat","little","actively_looking_into_it","STAY",7375
"one",22781,76,8,533608,158,4,5,"very_unsat","very_high","considering","LEAVE",9127
"zero",128932,244,0,458715,405,11,15,"very_sat","very_high","considering","LEAVE",18068
"zero",30202,63,33,390267,132,5,2,"very_sat","little","no","STAY",3663
"one",53507,63,0,995239,287,15,14,"very_unsat","very_little","no","STAY",2918
"zero",79285,53,22,458677,306,5,5,"very_sat","very_high","considering","LEAVE",1006
"one",137799,34,65,350987,647,5,1,"unsat","high","no","LEAVE",3391
"one",87577,0,0,393771,351,0,8,"sat","very_little","no","STAY",17300
"one",82644,0,24,741233,272,0,5,"very_unsat","very_high","no","STAY",19973
"zero",143904,51,52,183639,448,1,8,"very_sat","avg","considering","LEAVE",15478
"zero",110291,64,0,376322,887,0,13,"very_unsat","little","actively_looking_into_it","LEAVE",445
"one",55000,87,0,764024,328,3,8,"unsat","little","no","STAY",10972
"zero",82354,0,5,225868,289,1,5,"very_unsat","little","never_thought","STAY",15390
"zero",106417,222,20,173389,608,27,6,"very_unsat","very_little","no","LEAVE",4034
"one",121249,0,0,895834,832,0,14,"unsat","very_high","considering","STAY",15853
"one",21071,86,69,228903,241,3,1,"very_unsat","very_high","considering","STAY",10988
"one",50405,65,12,406764,291,3,5,"unsat","very_high","considering","LEAVE",4673
"one",128389,0,0,258110,296,1,12,"unsat","very_little","actively_looking_into_it","LEAVE",13416
"zero",66042,264,10,189199,132,21,6,"very_sat","very_high","never_thought","LEAVE",64
"one",30734,71,47,750437,373,5,2,"very_sat","avg","no","LEAVE",3202
"zero",99986,0,34,732470,306,1,2,"very_unsat","very_little","actively_looking_into_it","STAY",15382
"zero",74863,0,46,151462,311,1,2,"very_sat","little","actively_looking_into_it","LEAVE",17548
"one",74959,0,20,735268,232,0,6,"unsat","little","actively_looking_into_it","STAY",11807
"one",24485,203,0,207814,852,28,5,"unsat","little","no","STAY",14667
"zero",40693,0,0,587495,170,0,13,"very_sat","very_little","no","STAY",17914
"one",45864,0,59,292368,202,1,2,"very_sat","little","considering","STAY",15950
"one",31958,206,63,985892,153,21,6,"very_unsat","very_little","actively_looking_into_it","STAY",158
"zero",118678,40,23,162076,372,4,4,"very_unsat","very_little","perhaps","STAY",18106
"zero",101790,0,13,367668,796,1,4,"very_unsat","little","no","STAY",5275
"zero",63884,216,0,258643,255,23,8,"avg","little","no","LEAVE",9277
"one",153703,166,83,414860,471,12,2,"sat","little","considering","STAY",987
"zero",122636,69,14,557941,132,3,6,"very_unsat","little","no","STAY",3514
"one",87755,242,0,709470,346,19,11,"very_unsat","very_little","considering","LEAVE",6548
"zero",58191,60,53,884774,292,3,1,"very_unsat","very_high","no","STAY",1673
"zero",121779,64,33,909147,525,3,2,"very_unsat","high","considering","STAY",3748
"one",54469,175,7,957343,379,4,2,"sat","avg","actively_looking_into_it","STAY",8899
"zero",28670,56,0,606499,147,3,14,"unsat","little","actively_looking_into_it","STAY",19108
"zero",70691,0,79,626917,360,16,1,"very_unsat","little","never_thought","STAY",16650
"one",46300,59,15,903928,169,3,4,"very_unsat","very_little","actively_looking_into_it","STAY",16663
"zero",67229,0,0,717963,296,0,8,"very_sat","little","considering","STAY",689
"zero",80276,230,65,768937,712,15,2,"avg","very_little","considering","STAY",4579
"one",157467,39,25,253759,465,5,2,"very_sat","little","no","LEAVE",18916
"one",88756,0,0,733621,299,0,8,"avg","very_little","considering","STAY",15736
"zero",63011,175,19,856109,262,25,6,"very_unsat","avg","no","STAY",19606
"zero",135978,85,5,920206,512,4,5,"very_sat","very_high","no","LEAVE",3782
"one",49554,49,15,886784,224,3,2,"very_unsat","little","actively_looking_into_it","LEAVE",18312
"one",131556,212,0,283989,577,0,13,"very_unsat","little","considering","LEAVE",19646
"zero",39256,0,0,608969,244,0,8,"very_sat","little","no","STAY",14649
"zero",30510,58,28,253591,236,5,1,"very_unsat","avg","no","LEAVE",14256
"one",46394,47,0,250623,179,4,14,"unsat","little","never_thought","STAY",13227
"zero",21882,0,55,928475,201,5,2,"very_unsat","little","considering","LEAVE",738
"zero",35462,0,32,203513,781,1,2,"very_unsat","very_little","considering","STAY",18865
"one",66620,75,0,497190,322,3,14,"very_sat","very_little","considering","STAY",15392
"one",37129,69,5,218554,140,3,6,"very_unsat","little","considering","STAY",4050
"zero",74844,0,16,743602,304,1,6,"very_unsat","little","considering","STAY",1625
"zero",131166,0,77,185891,618,1,1,"very_unsat","very_high","perhaps","STAY",1446
"one",75127,61,0,634259,375,3,15,"very_unsat","high","no","LEAVE",17710
"one",85612,202,18,458873,280,15,4,"very_unsat","high","perhaps","STAY",9463
"one",22603,0,31,619936,218,10,1,"very_sat","very_little","considering","STAY",8306
"one",33951,184,15,693340,153,16,6,"very_unsat","little","actively_looking_into_it","STAY",10784
"one",112891,0,0,657992,533,0,14,"unsat","very_high","considering","LEAVE",8107
"zero",155554,0,16,547855,843,0,6,"very_unsat","very_high","never_thought","STAY",306
"one",102577,50,0,415541,182,5,11,"very_sat","very_high","actively_looking_into_it","LEAVE",10450
"zero",64404,0,24,269768,345,1,5,"unsat","little","considering","STAY",1901
"one",105167,71,41,297994,497,4,1,"very_unsat","very_high","considering","LEAVE",18441
"one",59822,0,0,163075,260,1,10,"very_sat","little","never_thought","STAY",14464
"one",36586,0,10,593353,336,4,4,"very_sat","high","no","LEAVE",6836
"zero",148492,197,0,248293,479,25,15,"sat","little","no","LEAVE",14601
"one",124222,78,22,430085,632,3,4,"unsat","avg","actively_looking_into_it","LEAVE",6952
"zero",63101,0,18,216295,398,0,5,"very_sat","little","considering","STAY",607
"one",59830,44,38,196782,301,3,1,"very_unsat","very_high","considering","LEAVE",878
"one",133182,236,0,170337,515,29,12,"very_sat","very_little","perhaps","LEAVE",14818
"one",39537,0,85,275490,155,0,2,"very_unsat","very_little","considering","LEAVE",14866
"one",134766,87,36,345495,690,3,2,"unsat","avg","no","LEAVE",1655
"one",82251,69,0,615508,345,5,8,"very_sat","little","never_thought","STAY",12667
"one",50621,0,17,789157,285,0,4,"very_sat","little","considering","LEAVE",16664
"one",88818,0,19,267440,888,1,6,"very_unsat","very_little","actively_looking_into_it","STAY",16752
"zero",25930,0,24,765670,166,1,6,"unsat","very_little","actively_looking_into_it","STAY",2392
"one",20065,0,0,390113,180,0,15,"unsat","little","actively_looking_into_it","STAY",15623
"zero",76071,0,74,959609,323,NA,2,"very_unsat","very_little","actively_looking_into_it","LEAVE",16132
"zero",128375,43,9,297331,511,5,6,"very_unsat","little","considering","LEAVE",15875
"zero",121940,219,51,710861,595,17,2,"very_sat","very_little","considering","STAY",10150
"one",150834,64,7,271402,673,3,4,"very_sat","very_high","considering","STAY",13224
"one",22637,64,13,186657,178,5,5,"avg","high","actively_looking_into_it","LEAVE",8963
"zero",21660,187,0,227085,224,22,11,"unsat","very_high","no","LEAVE",3354
"one",103284,78,0,939659,816,3,14,"very_unsat","little","never_thought","LEAVE",16716
"one",149463,229,6,613332,662,5,4,"very_sat","high","perhaps","LEAVE",12322
"one",23855,0,8,944091,172,1,15,"very_sat","very_little","no","STAY",5123
"zero",135651,70,0,895731,832,3,11,"very_sat","little","considering","LEAVE",14970
"zero",20543,58,0,501683,140,5,15,"very_unsat","very_high","considering","LEAVE",10629
"one",22877,54,0,235649,148,3,11,"very_sat","little","considering","LEAVE",4805
"one",67964,0,68,179226,216,0,1,"unsat","little","considering","STAY",8579
"zero",141969,0,14,788712,213,1,4,"very_unsat","very_high","considering","LEAVE",16172
"zero",66359,36,19,853921,383,4,4,"very_sat","very_little","never_thought","STAY",9828
"zero",46079,0,26,179083,181,1,2,"avg","very_high","considering","LEAVE",2922
"one",36408,204,7,415116,247,19,4,"very_sat","little","considering","STAY",8166
"zero",45208,197,8,182958,248,14,4,"avg","avg","no","LEAVE",11672
"one",30863,222,59,394149,254,28,1,"sat","very_high","actively_looking_into_it","STAY",1863
"one",143790,185,0,910123,427,17,13,"very_unsat","little","considering","LEAVE",18007
"one",154686,0,9,933975,736,0,4,"very_sat","little","perhaps","STAY",17323
"zero",67429,190,50,698659,385,25,2,"unsat","very_little","no","STAY",16459
"one",70611,0,5,509944,352,1,5,"avg","very_high","considering","STAY",3983
"zero",32301,189,0,439887,133,11,9,"very_unsat","little","considering","LEAVE",17468
"zero",69256,0,50,234151,293,1,2,"very_unsat","little","considering","LEAVE",19053
"one",24336,254,11,521879,144,22,5,"very_sat","little","considering","LEAVE",10557
"one",45710,0,9,174399,137,0,6,"very_unsat","little","actively_looking_into_it","STAY",18484
"zero",20310,0,22,457026,211,0,6,"very_unsat","little","considering","STAY",18650
"one",117869,192,80,522763,873,28,1,"very_sat","very_high","considering","LEAVE",10449
"one",53581,234,0,584366,395,29,9,"avg","very_little","never_thought","LEAVE",17117
"zero",68797,52,0,680078,326,4,11,"very_sat","very_high","never_thought","STAY",17041
"one",67803,79,0,261604,313,16,11,"very_unsat","very_little","actively_looking_into_it","LEAVE",15902
"one",110663,0,0,902611,529,1,13,"very_unsat","high","perhaps","STAY",16928
"zero",65927,58,49,887963,272,4,1,"very_unsat","little","considering","STAY",10184
"one",33193,225,11,297995,219,19,5,"very_unsat","little","actively_looking_into_it","LEAVE",40
"zero",25285,205,0,214087,201,3,10,"very_sat","very_high","considering","LEAVE",3902
"one",123527,0,43,505311,465,0,2,"very_unsat","very_high","considering","STAY",11386
"one",55426,180,0,250862,363,12,14,"very_unsat","little","actively_looking_into_it","LEAVE",10681
"one",30170,164,39,449064,213,17,1,"unsat","little","never_thought","LEAVE",5216
"one",106322,46,20,311872,181,3,5,"avg","very_little","considering","STAY",5972
"zero",141597,236,54,434961,684,18,2,"avg","little","no","STAY",16009
"zero",31061,71,88,168499,209,4,2,"unsat","very_little","actively_looking_into_it","LEAVE",9148
"zero",61014,60,44,631598,340,1,2,"very_unsat","very_little","actively_looking_into_it","LEAVE",8270
"zero",119123,253,33,663509,529,19,2,"avg","little","never_thought","LEAVE",6792
"zero",49656,266,18,259221,224,15,4,"unsat","very_high","considering","LEAVE",2477
"one",35995,228,0,625476,154,5,11,"avg","little","never_thought","LEAVE",2367
"one",135093,38,20,610457,609,3,5,"very_sat","little","no","LEAVE",6228
"one",65698,0,21,488891,324,1,6,"sat","little","no","STAY",8850
"zero",131389,81,18,234498,778,4,6,"very_unsat","high","no","STAY",9260
"one",157767,59,22,312568,474,4,2,"very_unsat","very_little","considering","STAY",3480
"zero",146390,213,0,481065,795,11,12,"unsat","little","actively_looking_into_it","LEAVE",14327
"zero",115434,64,0,511254,508,3,10,"very_unsat","very_high","considering","LEAVE",491
"zero",72372,238,14,190216,367,11,5,"unsat","little","never_thought","LEAVE",17405
"one",53512,0,0,243484,377,1,1,"very_sat","very_high","actively_looking_into_it","STAY",16864
"zero",53983,228,0,360422,325,23,14,"avg","very_high","no","LEAVE",11153
"zero",76401,45,85,581761,363,4,2,"very_sat","little","considering","LEAVE",6568
"one",84726,48,19,211426,369,4,5,"very_sat","very_little","considering","STAY",7110
"zero",27315,0,56,436327,152,1,1,"unsat","little","considering","STAY",12673
"zero",28274,211,46,249075,191,20,2,"avg","avg","considering","LEAVE",7364
"zero",37053,0,0,290615,226,1,14,"unsat","very_high","no","LEAVE",15560
"one",43861,0,38,505070,177,17,1,"unsat","little","actively_looking_into_it","LEAVE",9016
"one",59863,211,84,340939,267,17,1,"very_sat","very_high","no","LEAVE",1622
"one",110937,0,5,390171,880,1,4,"unsat","very_high","considering","STAY",5700
"zero",40263,242,0,655940,226,28,13,"unsat","very_high","perhaps","STAY",8401
"one",64614,0,0,187292,334,1,14,"very_sat","very_high","considering","LEAVE",17557
"one",147952,65,9,174689,634,5,4,"very_unsat","little","considering","LEAVE",6580
"one",142292,238,81,211362,761,21,1,"avg","very_high","actively_looking_into_it","LEAVE",17562
"zero",25931,142,33,556917,172,12,6,"very_unsat","little","considering","LEAVE",15909
"zero",53044,0,21,299459,314,1,6,"very_unsat","little","actively_looking_into_it","STAY",12085
"zero",21846,164,24,531703,177,16,2,"unsat","very_high","considering","LEAVE",7276
"zero",24656,189,22,582223,217,20,5,"very_unsat","very_little","perhaps","LEAVE",3304
"zero",140010,0,31,236281,468,4,2,"avg","very_little","considering","STAY",12028
"zero",123065,196,10,468825,853,27,2,"very_sat","high","considering","LEAVE",3970
"one",102331,216,16,260156,452,11,6,"very_sat","high","considering","LEAVE",17116
"zero",33554,79,0,292628,182,4,15,"very_unsat","little","considering","STAY",7140
"one",79661,0,60,501637,380,1,1,"very_sat","little","perhaps","STAY",747
"one",33847,63,6,368327,420,5,6,"very_sat","high","no","STAY",6991
"one",84372,0,0,828682,395,0,10,"unsat","little","actively_looking_into_it","STAY",6273
"one",82022,0,0,177130,266,1,11,"unsat","very_high","no","STAY",15469
"one",83889,0,5,587438,297,1,1,"very_unsat","little","considering","STAY",8232
"one",82306,41,80,166509,393,4,2,"sat","avg","considering","LEAVE",1124
"zero",72045,213,0,381577,279,12,8,"unsat","very_high","no","LEAVE",14571
"one",127363,0,40,194713,590,17,2,"very_unsat","very_high","actively_looking_into_it","LEAVE",7882
